13 motifs found
Motif [PPC]: [ENSG00000007968, ENSG00000101412, ENSG00000112242]
Motif [PPC]: [ENSG00000156273, ENSG00000197063, ENSG00000198517]
Motif [PPC]: [ENSG00000112242, ENSG00000007968, ENSG00000101412]
Motif [PPC]: [ENSG00000131759, ENSG00000172819, ENSG00000077092]
Motif [PPC]: [ENSG00000143549, ENSG00000072110, ENSG00000130402]
Motif [PPC]: [ENSG00000120251, ENSG00000155511, ENSG00000125675]
Motif [PPC]: [ENSG00000156273, ENSG00000197063, ENSG00000185022]
Motif [PPC]: [ENSG00000139687, ENSG00000101412, ENSG00000112242]
Motif [PPC]: [ENSG00000167460, ENSG00000072110, ENSG00000130402]
Motif [PPC]: [ENSG00000139687, ENSG00000007968, ENSG00000112242]
Motif [PPC]: [ENSG00000139687, ENSG00000007968, ENSG00000101412]
Motif [PPC]: [ENSG00000101412, ENSG00000007968, ENSG00000112242]
Motif [PPC]: [ENSG00000140416, ENSG00000072110, ENSG00000130402]
