group	module_no	p-value-rank	log2foldRatio	# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
ALL	31	12	4.276	GO:0033993	BP	e	response to lipid	8/12	741/20424	1.2584653108007465e-09	4	8	1.2045168453036655e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	12	3.778	GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	9/12	1204/20424	1.5633939195323063e-09	11	9	1.2045168453036655e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	13	3.546	GO:0033554	BP	e	cellular response to stress	9/12	1434/20424	7.336037159331138e-09	3	9	3.095518143748731e-05	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000170345
ALL	31	13	5.136	GO:0032870	BP	e	cellular response to hormone stimulus	6/12	299/20424	8.03561073073848e-09	5	6	3.095518143748731e-05	ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	14	4.389	GO:0009725	BP	e	response to hormone	7/12	597/20424	1.2277313239532e-08	4	7	3.783622394158972e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	15	3.393	GO:0045893	BP	e	positive regulation of transcription, DNA-templated	9/12	1612/20424	2.0562420729146823e-08	10	9	4.092096192695094e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	15	3.393	GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	9/12	1612/20424	2.0562420729146823e-08	9	9	4.092096192695094e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	15	3.388	GO:1902680	BP	e	positive regulation of RNA biosynthetic process	9/12	1618/20424	2.1245226517983486e-08	8	9	4.092096192695094e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	16	6.863	GO:1902893	BP	e	regulation of pri-miRNA transcription by RNA polymerase II	4/12	59/20424	3.0550570080757354e-08	11	4	4.950638276043108e-05	ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000170345
ALL	31	16	3.317	GO:0051254	BP	e	positive regulation of RNA metabolic process	9/12	1709/20424	3.435744996346314e-08	7	9	4.950638276043108e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	16	4.179	GO:0071495	BP	e	cellular response to endogenous stimulus	7/12	696/20424	3.534104811244999e-08	3	7	4.950638276043108e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	17	2.942	GO:0006357	BP	e	regulation of transcription by RNA polymerase II	10/12	2547/20424	4.651824830086146e-08	10	10	5.973330733899785e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	18	2.925	GO:0051239	BP	e	regulation of multicellular organismal process	10/12	2581/20424	5.294599491709787e-08	3	10	6.275729505212009e-05	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000170345
ALL	31	19	3.214	GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	9/12	1850/20424	6.883652796323645e-08	6	9	7.576443281325074e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	20	2.871	GO:0051716	BP	e	cellular response to stimulus	10/12	2694/20424	8.040874519486494e-08	2	10	8.143226048988251e-05	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000170345
ALL	31	20	3.184	GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	9/12	1894/20424	8.455553039380364e-08	6	9	8.143226048988251e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	21	3.146	GO:0031328	BP	e	positive regulation of cellular biosynthetic process	9/12	1951/20424	1.0957490709478884e-07	6	9	8.961994124701732e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	21	3.502	GO:1901700	BP	e	response to oxygen-containing compound	8/12	1318/20424	1.1541105611985756e-07	3	8	8.961994124701732e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	21	2.257	GO:0050896	BP	e	response to stimulus	12/12	5402/20424	1.1616068695686349e-07	1	12	8.961994124701732e-05	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	21	3.944	GO:1901701	BP	e	cellular response to oxygen-containing compound	7/12	828/20424	1.1632155395809893e-07	4	7	8.961994124701732e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	22	3.124	GO:0009891	BP	e	positive regulation of biosynthetic process	9/12	1985/20424	1.2742212715909356e-07	5	9	9.349750273307013e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	23	3.467	GO:0071310	BP	e	cellular response to organic substance	8/12	1354/20424	1.4231040674296555e-07	4	8	9.967550261374345e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	24	2.76	GO:0006950	BP	e	response to stress	10/12	2948/20424	1.9320249102472886e-07	2	10	0.00012943726887826293	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	25	2.745	GO:0051173	BP	e	positive regulation of nitrogen compound metabolic process	10/12	2985/20424	2.1808098697891622e-07	5	10	0.000140017080348255	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	26	4.246	GO:0010942	BP	e	positive regulation of cell death	6/12	568/20424	3.6106819067999857e-07	5	6	0.00022254799000752393	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	27	3.71	GO:0009719	BP	e	response to endogenous stimulus	7/12	986/20424	3.8291795222671295e-07	2	7	0.00022693779714851614	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	28	2.665	GO:0031325	BP	e	positive regulation of cellular metabolic process	10/12	3186/20424	4.1025221068806957e-07	5	10	0.00023413245609231348	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	29	3.275	GO:0010941	BP	e	regulation of cell death	8/12	1569/20424	4.458531721355324e-07	4	8	0.00024536255462272925	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	30	2.906	GO:0050793	BP	e	regulation of developmental process	9/12	2358/20424	5.700540373518697e-07	3	9	0.0003028952641915504	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000158055, ENSG00000170345
ALL	31	31	3.201	GO:0070887	BP	e	cellular response to chemical stimulus	8/12	1661/20424	6.920485118896348e-07	3	8	0.0003283953876859601	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	31	2.597	GO:0006355	BP	e	regulation of transcription, DNA-templated	10/12	3369/20424	7.041524463364002e-07	9	10	0.0003283953876859601	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	31	2.597	GO:1903506	BP	e	regulation of nucleic acid-templated transcription	10/12	3370/20424	7.061742990336591e-07	8	10	0.0003283953876859601	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	31	2.597	GO:0010604	BP	e	positive regulation of macromolecule metabolic process	10/12	3371/20424	7.0820132808397e-07	5	10	0.0003283953876859601	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	31	2.594	GO:2001141	BP	e	regulation of RNA biosynthetic process	10/12	3379/20424	7.246053073737843e-07	7	10	0.0003283953876859601	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	32	5.653	GO:0051384	BP	e	response to glucocorticoid	4/12	138/20424	9.470346828714998e-07	7	4	0.0004169387836676269	ENSG00000118689, ENSG00000119138, ENSG00000153094, ENSG00000170345
ALL	31	33	4.619	GO:1901652	BP	e	response to peptide	5/12	361/20424	1.200183409111173e-06	5	5	0.0005137118375276129	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000153094
ALL	31	34	4.581	GO:0071407	BP	e	cellular response to organic cyclic compound	5/12	371/20424	1.3729413883801423e-06	5	5	0.0005639286616553449	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000153094
ALL	31	34	3.934	GO:0014070	BP	e	response to organic cyclic compound	6/12	715/20424	1.3906995355248949e-06	4	6	0.0005639286616553449	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000153094, ENSG00000170345
ALL	31	35	2.505	GO:0051252	BP	e	regulation of RNA metabolic process	10/12	3639/20424	1.4810238749772474e-06	6	10	0.0005851563305006258	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	36	5.48	GO:0031960	BP	e	response to corticosteroid	4/12	156/20424	1.545616869019759e-06	6	4	0.0005954102583681366	ENSG00000118689, ENSG00000119138, ENSG00000153094, ENSG00000170345
ALL	31	37	2.494	GO:0009893	BP	e	positive regulation of metabolic process	10/12	3674/20424	1.623944039641681e-06	4	10	0.0006103257001667966	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	38	3.04	GO:0007166	BP	e	cell surface receptor signaling pathway	8/12	1884/20424	1.8217412707394888e-06	5	8	0.00066836217240059	ENSG00000073282, ENSG00000087245, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000158055, ENSG00000170345
ALL	31	39	4.467	GO:0071396	BP	e	cellular response to lipid	5/12	403/20424	2.061683807610855e-06	5	5	0.0007388019951505969	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000153094
ALL	31	40	6.839	GO:1902895	BP	e	positive regulation of pri-miRNA transcription by RNA polymerase II	3/12	45/20424	2.1685298080142016e-06	12	3	0.0007594289957202461	ENSG00000118689, ENSG00000136826, ENSG00000170345
ALL	31	41	2.443	GO:2000112	BP	e	regulation of cellular macromolecule biosynthetic process	10/12	3836/20424	2.4585829562131733e-06	6	10	0.0008418734393841952	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	42	2.434	GO:0010556	BP	e	regulation of macromolecule biosynthetic process	10/12	3864/20424	2.6363510566202214e-06	5	10	0.0008831202919882826	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	43	3.773	GO:0010243	BP	e	response to organonitrogen compound	6/12	806/20424	2.793807105318911e-06	4	6	0.0008842408387523433	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000153094, ENSG00000170345
ALL	31	43	2.427	GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	10/12	3889/20424	2.80464772715488e-06	5	10	0.0008842408387523433	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
ALL	31	43	6.717	GO:1904645	BP	e	response to amyloid-beta	3/12	49/20424	2.811850288718594e-06	6	3	0.0008842408387523433	ENSG00000087245, ENSG00000118689, ENSG00000153094
ALL	31	44	4.371	GO:0071417	BP	e	cellular response to organonitrogen compound	5/12	432/20424	2.898645829599654e-06	5	5	0.0008933046717660214	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000150907, ENSG00000153094
ALL	31	45	5.21	GO:0034599	BP	e	cellular response to oxidative stress	4/12	189/20424	3.318135749623132e-06	5	4	0.0009984827803368591	ENSG00000087245, ENSG00000118689, ENSG00000150907, ENSG00000170345
