# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0033993	BP	e	response to lipid	8/12	741/20424	1.2584653108007465e-09	4	8	1.2045168453036655e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000170345
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	9/12	1204/20424	1.5633939195323063e-09	11	9	1.2045168453036655e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
GO:0033554	BP	e	cellular response to stress	9/12	1434/20424	7.336037159331138e-09	3	9	3.095518143748731e-05	ENSG00000073282, ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000150907, ENSG00000153094, ENSG00000156127, ENSG00000170345
GO:0032870	BP	e	cellular response to hormone stimulus	6/12	299/20424	8.03561073073848e-09	5	6	3.095518143748731e-05	ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
GO:0009725	BP	e	response to hormone	7/12	597/20424	1.2277313239532e-08	4	7	3.783622394158972e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	9/12	1612/20424	2.0562420729146823e-08	10	9	4.092096192695094e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	9/12	1612/20424	2.0562420729146823e-08	9	9	4.092096192695094e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	9/12	1618/20424	2.1245226517983486e-08	8	9	4.092096192695094e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
GO:1902893	BP	e	regulation of pri-miRNA transcription by RNA polymerase II	4/12	59/20424	3.0550570080757354e-08	11	4	4.950638276043108e-05	ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000170345
GO:0051254	BP	e	positive regulation of RNA metabolic process	9/12	1709/20424	3.435744996346314e-08	7	9	4.950638276043108e-05	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000170345
GO:0071495	BP	e	cellular response to endogenous stimulus	7/12	696/20424	3.534104811244999e-08	3	7	4.950638276043108e-05	ENSG00000087245, ENSG00000109320, ENSG00000118689, ENSG00000119138, ENSG00000150907, ENSG00000153094, ENSG00000170345
