# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	8/8	940/20424	1.956684943901947e-11	11	8	1.7672991878122512e-07	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0071391	BP	e	cellular response to estrogen stimulus	4/8	17/20424	2.2938531868547617e-11	6	4	1.7672991878122512e-07	ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000169083
GO:0045892	BP	e	negative regulation of transcription, DNA-templated	8/8	1276/20424	2.2736611666921615e-10	10	8	7.185127107886254e-07	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:1903507	BP	e	negative regulation of nucleic acid-templated transcription	8/8	1278/20424	2.3024072933118213e-10	9	8	7.185127107886254e-07	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:1902679	BP	e	negative regulation of RNA biosynthetic process	8/8	1280/20424	2.331470928641136e-10	8	8	7.185127107886254e-07	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0051253	BP	e	negative regulation of RNA metabolic process	8/8	1386/20424	4.4135230252644005e-10	7	8	1.1334662716049858e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:2000113	BP	e	negative regulation of cellular macromolecule biosynthetic process	8/8	1464/20424	6.84663637936903e-10	7	8	1.3211570933810613e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0010558	BP	e	negative regulation of macromolecule biosynthetic process	8/8	1474/20424	7.230778559585504e-10	6	8	1.3211570933810613e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0045934	BP	e	negative regulation of nucleobase-containing compound metabolic process	8/8	1486/20424	7.716538283100495e-10	6	8	1.3211570933810613e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0031327	BP	e	negative regulation of cellular biosynthetic process	8/8	1531/20424	9.802004353501476e-10	6	8	1.5103908508310423e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0009890	BP	e	negative regulation of biosynthetic process	8/8	1559/20424	1.133510122335807e-09	5	8	1.5878415886429498e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	8/8	1612/20424	1.4819516868175567e-09	10	8	1.6804142819597087e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	8/8	1612/20424	1.4819516868175567e-09	9	8	1.6804142819597087e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	8/8	1618/20424	1.5267570866010723e-09	8	8	1.6804142819597087e-06	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997, ENSG00000137203, ENSG00000140009, ENSG00000159216, ENSG00000169083
