# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1904019	BP	e	epithelial cell apoptotic process	3/4	31/20424	1.2651309746943745e-08	5	3	0.00019494403189065617	ENSG00000007968, ENSG00000101412, ENSG00000139687
GO:0071930	BP	e	negative regulation of transcription involved in G1/S transition of mitotic cell cycle	2/4	3/20424	8.630059818357383e-08	11	2	0.0006649029587053447	ENSG00000101412, ENSG00000139687
GO:1990086	BP	e	lens fiber cell apoptotic process	2/4	4/20424	1.7258992706875606e-07	6	2	0.0008864793954008207	ENSG00000007968, ENSG00000101412
GO:0070345	BP	e	negative regulation of fat cell proliferation	2/4	6/20424	4.3141847432622135e-07	6	2	0.0016619318177231862	ENSG00000101412, ENSG00000112242
GO:0070344	BP	e	regulation of fat cell proliferation	2/4	10/20424	1.2939174000125243e-06	5	2	0.003987594643358597	ENSG00000101412, ENSG00000112242
GO:0000083	BP	e	regulation of transcription involved in G1/S transition of mitotic cell cycle	2/4	21/20424	6.033944434640997e-06	10	2	0.015496174965563856	ENSG00000101412, ENSG00000139687
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	4/4	1204/20424	1.201998630866964e-05	11	4	0.026459424147184354	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0006367	BP	e	transcription initiation from RNA polymerase II promoter	2/4	41/20424	2.3530344742639726e-05	9	2	0.04532238526741694	ENSG00000007968, ENSG00000112242
GO:0032774	BP	e	RNA biosynthetic process	3/4	392/20424	2.766810404508521e-05	7	3	0.04652623466418494	ENSG00000007968, ENSG00000101412, ENSG00000112242
GO:0072332	BP	e	intrinsic apoptotic signaling pathway by p53 class mediator	2/4	50/20424	3.5131364019971325e-05	7	2	0.04652623466418494	ENSG00000007968, ENSG00000101412
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	4/4	1612/20424	3.8672912604832346e-05	10	4	0.04652623466418494	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	4/4	1612/20424	3.8672912604832346e-05	9	4	0.04652623466418494	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	4/4	1618/20424	3.925245315298879e-05	8	4	0.04652623466418494	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0090575	CC	e	RNA polymerase II transcription regulator complex	4/4	241/20424	1.8913309346604034e-08	3	4	3.733487265019636e-05	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0035189	CC	e	Rb-E2F complex	2/4	3/20424	8.630059818357383e-08	4	2	8.517869040718737e-05	ENSG00000101412, ENSG00000139687
GO:0005667	CC	e	transcription regulator complex	4/4	493/20424	3.354702233751637e-07	2	4	0.00022073940698085772	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0000785	CC	e	chromatin	4/4	1094/20424	8.189346680977598e-06	2	4	0.004041442587062445	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0140513	CC	e	nuclear protein-containing complex	4/4	1234/20424	1.3265126036384502e-05	2	4	0.005237071759164601	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0000977	MF	e	RNA polymerase II transcription regulatory region sequence-specific DNA binding	4/4	1412/20424	2.2753918589568753e-05	8	4	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0000976	MF	e	transcription regulatory region sequence-specific DNA binding	4/4	1506/20424	2.945321260328622e-05	7	4	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0001067	MF	e	regulatory region nucleic acid binding	4/4	1508/20424	2.9610139217102733e-05	4	4	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:1990837	MF	e	sequence-specific double-stranded DNA binding	4/4	1563/20424	3.417683900715389e-05	6	4	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0003690	MF	e	double-stranded DNA binding	4/4	1657/20424	4.317981008267849e-05	5	4	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0043565	MF	e	sequence-specific DNA binding	4/4	1665/20424	4.4020524429643926e-05	5	4	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
GO:0001216	MF	e	DNA-binding transcription activator activity	3/4	460/20424	4.464637756564841e-05	3	3	0.03088891522149075	ENSG00000007968, ENSG00000101412, ENSG00000112242
GO:0140110	MF	e	transcription regulator activity	4/4	1919/20424	7.771513018485841e-05	1	4	0.047046796935658663	ENSG00000007968, ENSG00000101412, ENSG00000112242, ENSG00000139687
