# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000785	CC	e	chromatin	5/5	1094/20424	4.3713946535159626e-07	2	5	0.000862913304604051	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0001227	MF	e	DNA-binding transcription repressor activity, RNA polymerase II-specific	4/5	321/20424	2.9578751665478476e-07	4	4	0.000752678215874684	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166
GO:0001217	MF	e	DNA-binding transcription repressor activity	4/5	325/20424	3.1083139206057567e-07	3	4	0.000752678215874684	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166
GO:0000978	MF	e	RNA polymerase II cis-regulatory region sequence-specific DNA binding	5/5	1196/20424	6.831699524385285e-07	9	5	0.0009024913381277755	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0000987	MF	e	cis-regulatory region sequence-specific DNA binding	5/5	1217/20424	7.453985861059471e-07	8	5	0.0009024913381277755	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0000981	MF	e	DNA-binding transcription factor activity, RNA polymerase II-specific	5/5	1364/20424	1.3194502301729153e-06	3	5	0.001093194578923215	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0000977	MF	e	RNA polymerase II transcription regulatory region sequence-specific DNA binding	5/5	1412/20424	1.568928372907605e-06	8	5	0.001093194578923215	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0003700	MF	e	DNA-binding transcription factor activity	5/5	1414/20424	1.5800871469053282e-06	2	5	0.001093194578923215	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0000976	MF	e	transcription regulatory region sequence-specific DNA binding	5/5	1506/20424	2.166441005472449e-06	7	5	0.0011735578624451346	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0001067	MF	e	regulatory region nucleic acid binding	5/5	1508/20424	2.18088390708367e-06	4	5	0.0011735578624451346	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:1990837	MF	e	sequence-specific double-stranded DNA binding	5/5	1563/20424	2.609289520680986e-06	6	5	0.0012636789148658015	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0003690	MF	e	double-stranded DNA binding	5/5	1657/20424	3.4954077408403254e-06	5	5	0.0014451147367581065	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0043565	MF	e	sequence-specific DNA binding	5/5	1665/20424	3.580709651269312e-06	5	5	0.0014451147367581065	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0140110	MF	e	transcription regulator activity	5/5	1919/20424	7.288172101308325e-06	1	5	0.00271512442204894	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0003677	MF	e	DNA binding	5/5	2473/20424	2.5934149932193494e-05	4	5	0.008971363437258078	ENSG00000049768, ENSG00000114861, ENSG00000128573, ENSG00000137166, ENSG00000185630
GO:0140297	MF	e	DNA-binding transcription factor binding	3/5	468/20424	0.00011551452324160508	4	3	0.03729578907060623	ENSG00000049768, ENSG00000114861, ENSG00000185630
