# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006006	BP	e	glucose metabolic process	4/9	99/20424	6.423091071740071e-08	6	4	0.0009897341032444277	ENSG00000074800, ENSG00000102144, ENSG00000111640, ENSG00000136997
GO:0019318	BP	e	hexose metabolic process	4/9	142/20424	2.746741410780273e-07	5	4	0.0017868595023333258	ENSG00000074800, ENSG00000102144, ENSG00000111640, ENSG00000136997
GO:0005996	BP	e	monosaccharide metabolic process	4/9	162/20424	4.6592460505637974e-07	4	4	0.0017868595023333258	ENSG00000074800, ENSG00000102144, ENSG00000111640, ENSG00000136997
GO:0006096	BP	e	glycolytic process	3/9	39/20424	5.364428789112149e-07	12	3	0.0017868595023333258	ENSG00000074800, ENSG00000102144, ENSG00000111640
GO:0006757	BP	e	ATP generation from ADP	3/9	40/20424	5.7981033887122e-07	11	3	0.0017868595023333258	ENSG00000074800, ENSG00000102144, ENSG00000111640
GO:0046031	BP	e	ADP metabolic process	3/9	48/20424	1.0132304431752942e-06	10	3	0.002602144649814685	ENSG00000074800, ENSG00000102144, ENSG00000111640
GO:0010628	BP	e	positive regulation of gene expression	6/9	1091/20424	1.6751065033331104e-06	6	6	0.0026995526155112848	ENSG00000074800, ENSG00000101412, ENSG00000111640, ENSG00000136997, ENSG00000144381, ENSG00000159216
GO:0006165	BP	e	nucleoside diphosphate phosphorylation	3/9	57/20424	1.7107022697972923e-06	8	3	0.0026995526155112848	ENSG00000074800, ENSG00000102144, ENSG00000111640
GO:0046939	BP	e	nucleotide phosphorylation	3/9	58/20424	1.8036152424325842e-06	6	3	0.0026995526155112848	ENSG00000074800, ENSG00000102144, ENSG00000111640
GO:0006090	BP	e	pyruvate metabolic process	3/9	60/20424	1.9993673314475583e-06	7	3	0.0026995526155112848	ENSG00000074800, ENSG00000102144, ENSG00000111640
