# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0009615	BP	e	response to virus	7/9	320/20424	7.610070181729668e-12	5	7	1.1726357143027246e-07	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0140546	BP	e	defense response to symbiont	6/9	220/20424	1.193089040291192e-10	6	6	6.128103007282326e-07	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0051607	BP	e	defense response to virus	6/9	220/20424	1.193089040291192e-10	7	6	6.128103007282326e-07	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0019221	BP	e	cytokine-mediated signaling pathway	6/9	348/20424	1.8861390713115756e-09	6	6	7.265879237460017e-06	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0098586	BP	e	cellular response to virus	4/9	54/20424	5.444031598941307e-09	6	4	1.677741658161732e-05	ENSG00000109320, ENSG00000169245, ENSG00000171855, ENSG00000185507
GO:0002252	BP	e	immune effector process	6/9	527/20424	2.256382627830772e-08	2	6	5.794766652040728e-05	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0051707	BP	e	response to other organism	7/9	1034/20424	2.750968515515829e-08	4	7	6.0556676936547725e-05	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0060337	BP	e	type I interferon signaling pathway	3/9	19/20424	5.712997378618405e-08	7	3	0.00011003947075891377	ENSG00000115415, ENSG00000171855, ENSG00000185507
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	7/9	1204/20424	7.885659558227761e-08	11	7	0.0001241097467052644	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0043207	BP	e	response to external biotic stimulus	7/9	1222/20424	8.73689469649765e-08	3	7	0.0001241097467052644	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0010604	BP	e	positive regulation of macromolecule metabolic process	9/9	3371/20424	9.009180532348689e-08	5	9	0.0001241097467052644	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000116815, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0006952	BP	e	defense response	7/9	1240/20424	9.665240836285111e-08	3	7	0.0001241097467052644	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0009607	BP	e	response to biotic stimulus	7/9	1256/20424	1.0559756614731709e-07	2	7	0.0001251656074433853	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0044419	BP	e	biological process involved in interspecies interaction between organisms	7/9	1291/20424	1.2765308613622228e-07	1	7	0.00014050045744807494	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0001817	BP	e	regulation of cytokine production	6/9	714/20424	1.372486844543737e-07	6	6	0.00014099099858382963	ENSG00000109320, ENSG00000115415, ENSG00000116815, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0009893	BP	e	positive regulation of metabolic process	9/9	3674/20424	1.956554737471979e-07	4	9	0.00018842844968566078	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000116815, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0098542	BP	e	defense response to other organism	6/9	829/20424	3.3222181081495475e-07	5	6	0.0003011297578145669	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0071345	BP	e	cellular response to cytokine stimulus	5/9	409/20424	3.706603082363851e-07	5	5	0.0003173058160896921	ENSG00000109320, ENSG00000115415, ENSG00000116815, ENSG00000171855, ENSG00000173039
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	7/9	1612/20424	5.885589576168253e-07	10	7	0.000422880405431123	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	7/9	1612/20424	5.885589576168253e-07	9	7	0.000422880405431123	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0032101	BP	e	regulation of response to external stimulus	6/9	915/20424	5.949710043295742e-07	4	6	0.000422880405431123	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	7/9	1618/20424	6.037620169696091e-07	8	7	0.000422880405431123	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0009612	BP	e	response to mechanical stimulus	4/9	187/20424	8.272997345785797e-07	3	4	0.0005542548526139711	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000173039
GO:0051254	BP	e	positive regulation of RNA metabolic process	7/9	1709/20424	8.787592392500925e-07	7	7	0.0005642000465668615	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0034097	BP	e	response to cytokine	5/9	528/20424	1.3102451931726032e-06	4	5	0.0007953764126710893	ENSG00000109320, ENSG00000115415, ENSG00000116815, ENSG00000171855, ENSG00000173039
GO:0009605	BP	e	response to external stimulus	7/9	1818/20424	1.3420589739404454e-06	2	7	0.0007953764126710893	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0002376	BP	e	immune system process	7/9	1835/20424	1.4303033637525436e-06	1	7	0.0008153598200349176	ENSG00000077150, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	7/9	1850/20424	1.512213137806771e-06	6	7	0.0008153598200349176	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0043331	BP	e	response to dsRNA	3/9	55/20424	1.5345210449096378e-06	5	3	0.0008153598200349176	ENSG00000109320, ENSG00000171855, ENSG00000233816
GO:0051173	BP	e	positive regulation of nitrogen compound metabolic process	8/9	2985/20424	1.6177089234807326e-06	5	8	0.0008309092267304869	ENSG00000077150, ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
