Module	Comments	nrTF	nrGO	nrInCluster
ALL_0	-	2	0	2
ALL_1	-	1	0	4
ALL_10	-	1	0	6
ALL_11	-	3	0	10
ALL_12	-	3	0	5
ALL_13	-	2	0	2
ALL_14	-	1	0	5
ALL_15	-	3	0	3
ALL_16	-	5	0	6
ALL_17	-	4	0	4
ALL_18	-	3	0	7
ALL_19	-	3	0	6
ALL_2	-	3	0	3
ALL_20	-	7	0	10
ALL_21	-	3	0	6
ALL_22	-	3	0	4
ALL_23	-	4	0	4
ALL_24	-	3	0	9
ALL_25	-	2	0	5
ALL_26	-	3	0	4
ALL_27	-	5	0	7
ALL_28	-	4	0	7
ALL_29	-	11	0	18
ALL_3	-	4	0	5
ALL_30	-	4	0	4
ALL_31	-	10	0	14
ALL_32	-	3	0	3
ALL_33	-	3	0	3
ALL_34	-	3	0	5
ALL_35	-	9	0	10
ALL_36	-	3	0	3
ALL_37	-	2	0	3
ALL_38	-	3	0	3
ALL_39	-	1	0	3
ALL_4	-	2	0	2
ALL_5	-	3	0	4
ALL_6	-	0	0	4
ALL_7	-	5	0	5
ALL_8	-	3	0	3
ALL_9	-	5	0	5
