ENSG00000132170	hsa-miR-613	ENSG00000025434	RRM
ENSG00000169083	hsa-miR-17-3p	ENSG00000153094	RRM
ENSG00000169083	hsa-miR-18a-5p	ENSG00000153094	RRM
ENSG00000091831	hsa-miR-18a-5p	ENSG00000153094	RRM
ENSG00000091831	hsa-miR-17-3p	ENSG00000153094	RRM
ENSG00000025434	hsa-miR-130a-5p	ENSG00000132170	RRM
ENSG00000025434	hsa-miR-130a-3p	ENSG00000132170	RRM
ENSG00000205250	ENSG00000185811	ENSG00000117713	RRR
ENSG00000150907	ENSG00000113916	ENSG00000118689	RRR
ENSG00000167081	ENSG00000134138	ENSG00000114861	RRR
ENSG00000187098	ENSG00000100146	ENSG00000110693	RRR
ENSG00000173039	ENSG00000185507	ENSG00000169245	RRR
ENSG00000100146	ENSG00000110693	ENSG00000187098	RRR
ENSG00000115415	ENSG00000185507	ENSG00000169245	RRR
ENSG00000113916	ENSG00000150907	ENSG00000118689	RRR
ENSG00000118689	ENSG00000113916	ENSG00000150907	RRR
ENSG00000077150	ENSG00000109320	ENSG00000116815	RRR
ENSG00000109320	ENSG00000185507	ENSG00000169245	RRR
ENSG00000159216	ENSG00000185811	ENSG00000124126	RRR
ENSG00000109320	ENSG00000185507	ENSG00000233816	RRR
ENSG00000205250	ENSG00000185811	ENSG00000124126	RRR
ENSG00000175197	ENSG00000172216	ENSG00000070669	RRR
ENSG00000128272	ENSG00000162772	ENSG00000175197	RRR
ENSG00000172216	ENSG00000162772	ENSG00000175197	RRR
ENSG00000020633	ENSG00000185811	ENSG00000117713	RRR
ENSG00000118689	ENSG00000150907	ENSG00000113916	RRR
ENSG00000128272	ENSG00000172216	ENSG00000162772	RRR
ENSG00000162772	ENSG00000175197	ENSG00000070669	RRR
ENSG00000128272	ENSG00000175197	ENSG00000172216	RRR
ENSG00000100146	ENSG00000187098	ENSG00000110693	RRR
ENSG00000113916	ENSG00000118689	ENSG00000150907	RRR
ENSG00000173039	ENSG00000185507	ENSG00000233816	RRR
ENSG00000150907	ENSG00000119138	ENSG00000118689	RRR
ENSG00000115415	ENSG00000185507	ENSG00000171855	RRR
ENSG00000173039	ENSG00000077150	ENSG00000116815	RRR
ENSG00000109320	ENSG00000185507	ENSG00000171855	RRR
ENSG00000115415	ENSG00000185507	ENSG00000233816	RRR
ENSG00000150907	ENSG00000118689	ENSG00000113916	RRR
ENSG00000172216	ENSG00000162772	ENSG00000070669	RRR
ENSG00000167081	ENSG00000114861	ENSG00000134138	RRR
ENSG00000185811	ENSG00000159216	ENSG00000124126	RRR
ENSG00000172216	ENSG00000175197	ENSG00000070669	RRR
ENSG00000049768	ENSG00000185811	ENSG00000117713	RRR
ENSG00000082175	ENSG00000091831	ENSG00000120158	RRR
ENSG00000128272	ENSG00000172216	ENSG00000175197	RRR
ENSG00000020633	ENSG00000185811	ENSG00000124126	RRR
ENSG00000091831	ENSG00000082175	ENSG00000134533	RRR
ENSG00000114861	ENSG00000167081	ENSG00000134138	RRR
ENSG00000077150	ENSG00000173039	ENSG00000116815	RRR
ENSG00000049768	ENSG00000185811	ENSG00000124126	RRR
ENSG00000173039	ENSG00000185507	ENSG00000171855	RRR
ENSG00000082175	ENSG00000091831	ENSG00000134533	RRR
ENSG00000091831	ENSG00000082175	ENSG00000120158	RRR
ENSG00000109320	ENSG00000077150	ENSG00000116815	RRR
hsa-miR-221	ENSG00000091831	ENSG00000153094	MMR
hsa-miR-221	ENSG00000170345	ENSG00000087245	MMR
hsa-miR-18a-5p	ENSG00000091831	ENSG00000153094	MMR
hsa-miR-221	ENSG00000118689	ENSG00000153094	MMR
hsa-miR-221	ENSG00000170345	ENSG00000153094	MMR
