module1	module1_nr	module1_size	module2	module2_nr	module2_size	M_count	M_zscore	M_pvalue	P_count	P_zscore	P_pvalue	C_count	C_zscore	C_pvalue	H_count	H_zscore	H_pvalue	R_count	R_zscore	R_pvalue
ALL	3	5	ALL	3	5	0	0	1	0	0	1	12	11.59	0.0	0	0	1	20	22.18	0.0
ALL	3	5	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	29	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	ALL	35	10	1	0	1	0	0	1	0	0	1	0	0	1	6	3.99	3.2805276271696826e-05
ALL	3	5	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COR	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COR	6	5	0	0	1	0	0	1	12	11.27	0.0	0	0	1	20	21.56	0.0
ALL	3	5	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	COP	7	5	0	0	1	0	0	1	12	11.61	0.0	0	0	1	20	23.11	0.0
ALL	3	5	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	CIR	1	14	1	0	1	0	0	1	0	0	1	0	0	1	6	3.21	0.0006723961059351691
ALL	3	5	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	CIR	3	7	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FBU	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FBU	1	5	0	0	1	0	0	1	12	11.73	0.0	0	0	1	20	22.47	0.0
ALL	3	5	FBU	2	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FBU	3	9	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FFL	1	5	0	0	1	0	0	1	12	12.02	0.0	0	0	1	20	22.95	0.0
ALL	3	5	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FFL	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FFL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	3	5	FFL	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	7	5	0	0	1	4	3.42	0.00030799279001647584	6	5.37	3.8706423177714555e-08	6	4.35	6.66963623974226e-06	12	13.03	0.0
ALL	7	5	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
ALL	7	5	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
