module1	module1_nr	module1_size	module2	module2_nr	module2_size	M_count	M_zscore	M_pvalue	P_count	P_zscore	P_pvalue	C_count	C_zscore	C_pvalue	H_count	H_zscore	H_pvalue	R_count	R_zscore	R_pvalue
CIR	0	8	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	11	10	3	0	1	0	0	1	0	0	1	0	0	1	13	7.05	9.156009284083666e-13
CIR	0	8	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	20	10	0	0	1	0	0	1	2	0	1	0	0	1	8	3.84	6.0599057060128914e-05
CIR	0	8	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	24	9	1	0	1	0	0	1	0	0	1	0	0	1	7	3.64	0.0001342780637919594
CIR	0	8	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	5	2.82	0.002404299763384854
CIR	0	8	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	ALL	29	18	2	0	1	0	0	1	0	0	1	0	0	1	35	15.32	0.0
CIR	0	8	ALL	31	14	1	0	1	0	0	1	0	0	1	0	0	1	2	0	1
CIR	0	8	ALL	34	5	1	0	1	0	0	1	0	0	1	0	0	1	9	7.13	5.10480546722647e-13
CIR	0	8	ALL	35	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	4	8	3	0.11	0.45649356626629556	0	0	1	0	0	1	0	0	1	9	5.69	6.465177726511229e-09
CIR	0	8	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	2	0.49	0.3120139770893753
CIR	0	8	COP	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	26	17.4	0.0
CIR	0	8	CIR	1	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	CIR	2	6	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1
CIR	0	8	CIR	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FBU	0	8	3	0.18	0.429493046888215	0	0	1	0	0	1	0	0	1	9	5.67	7.174186911207414e-09
CIR	0	8	FBU	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FBU	2	12	2	0	1	0	0	1	0	0	1	0	0	1	15	7.06	8.162359677044151e-13
CIR	0	8	FBU	3	9	0	0	1	0	0	1	2	0	1	0	0	1	8	4.39	5.579367722274853e-06
CIR	0	8	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FFL	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
CIR	0	8	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	5	2.79	0.002608105060295074
CIR	0	8	FFL	4	8	1	0	1	0	0	1	0	0	1	0	0	1	15	9.64	0.0
CIR	0	8	FFL	7	5	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1
