module1	module1_nr	module1_size	module2	module2_nr	module2_size	M_count	M_zscore	M_pvalue	P_count	P_zscore	P_pvalue	C_count	C_zscore	C_pvalue	H_count	H_zscore	H_pvalue	R_count	R_zscore	R_pvalue
COP	0	7	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	18	7	0	0	1	2	0.16	0.43771179291335405	6	3.35	0.0004089625966287036	0	0	1	24	19.22	0.0
COP	0	7	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	29	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	ALL	35	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COP	0	7	0	0	1	2	0.17	0.43188986727432155	6	3.22	0.0006391268219071433	0	0	1	24	19.07	0.0
COP	0	7	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	COP	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	CIR	1	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	CIR	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FBU	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FBU	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FBU	2	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FBU	3	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FFL	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FFL	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FFL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	0	7	FFL	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	21	6	0	0	1	0	0	1	4	2.49	0.006474085515165373	4	1.78	0.037747640563298934	18	17.82	0.0
COP	1	6	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	29	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	ALL	35	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COP	1	6	0	0	1	0	0	1	4	2.25	0.012157500943400068	4	1.66	0.048190344510894434	18	16.53	0.0
COP	1	6	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	COP	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	CIR	1	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	CIR	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FBU	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FBU	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FBU	2	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FBU	3	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FFL	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FFL	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FFL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	1	6	FFL	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COP	3	5	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
