module1	module1_nr	module1_size	module2	module2_nr	module2_size	M_count	M_zscore	M_pvalue	P_count	P_zscore	P_pvalue	C_count	C_zscore	C_pvalue	H_count	H_zscore	H_pvalue	R_count	R_zscore	R_pvalue
COR	0	5	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	14	5	12	10.49	0.0	6	5.48	2.099429086133142e-08	0	0	1	6	4.52	3.121731734556654e-06	0	0	1
COR	0	5	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	29	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	ALL	35	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	0	5	12	11.39	0.0	6	5.6	1.0964631647070178e-08	0	0	1	6	4.16	1.6215462926627566e-05	0	0	1
COR	0	5	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	COP	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	CIR	1	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	CIR	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FBU	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FBU	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FBU	2	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FBU	3	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FFL	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FFL	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FFL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	0	5	FFL	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	1	6	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	1	6	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	1	6	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
COR	1	6	ALL	10	6	0	0	1	14	11.24	0.0	2	0.66	0.25491233498500976	8	4.51	3.3020106677827954e-06	10	8.63	0.0
COR	1	6	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
