module1	module1_nr	module1_size	module2	module2_nr	module2_size	M_count	M_zscore	M_pvalue	P_count	P_zscore	P_pvalue	C_count	C_zscore	C_pvalue	H_count	H_zscore	H_pvalue	R_count	R_zscore	R_pvalue
FB2U	1	5	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	9	5	0	0	1	8	7.38	8.038014698286133e-14	6	5.39	3.570137285802133e-08	4	2.56	0.005282800105963603	10	10.66	0.0
FB2U	1	5	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	29	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	ALL	35	10	0	0	1	1	0	1	1	0	1	1	0	1	2	0.64	0.25967377508148703
FB2U	1	5	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	COP	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	CIR	1	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	CIR	3	7	0	0	1	1	0	1	1	0	1	1	0	1	2	1.24	0.10792393753921936
FB2U	1	5	FBU	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FBU	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FBU	2	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FBU	3	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FB2U	1	5	0	0	1	8	7.05	8.811840146449867e-13	6	5.6	1.0637501435262209e-08	4	2.68	0.0036899877253736557	10	11.14	0.0
FB2U	1	5	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FFL	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FFL	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FFL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	1	5	FFL	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	12	5	1	0	1	3	1.5	0.06663620223845756	4	2.44	0.007315514894797315	0	0	1	0	0	1
FB2U	3	7	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	16	6	0	0	1	6	3.86	5.577573737769459e-05	16	11.74	0.0	2	0.08	0.46847648403661657	14	11.24	0.0
FB2U	3	7	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	19	6	0	0	1	3	1.3	0.09719688331827059	4	2.05	0.020336419221117508	0	0	1	8	6.02	8.626633851704923e-10
FB2U	3	7	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FB2U	3	7	ALL	29	18	1	0	1	0	0	1	2	0	1	0	0	1	2	0	1
FB2U	3	7	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1
