module1	module1_nr	module1_size	module2	module2_nr	module2_size	M_count	M_zscore	M_pvalue	P_count	P_zscore	P_pvalue	C_count	C_zscore	C_pvalue	H_count	H_zscore	H_pvalue	R_count	R_zscore	R_pvalue
FBU	0	8	ALL	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	11	10	6	1.5	0.06722066377348968	0	0	1	0	0	1	36	16.15	0.0	18	10.28	0.0
FBU	0	8	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1
FBU	0	8	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	29	18	4	0	1	0	0	1	0	0	1	0	0	1	17	6.68	1.2022383089060895e-11
FBU	0	8	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	ALL	35	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	4	8	6	1.99	0.023124823711255238	0	0	1	0	0	1	36	19.21	0.0	14	9.25	0.0
FBU	0	8	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	COP	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	CIR	0	8	3	0.18	0.42904594309089283	0	0	1	0	0	1	0	0	1	9	5.36	4.2612941952846484e-08
FBU	0	8	CIR	1	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	CIR	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FBU	0	8	6	2.0	0.02264716144321588	0	0	1	0	0	1	36	18.16	0.0	14	9.41	0.0
FBU	0	8	FBU	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FBU	2	12	4	0	1	0	0	1	0	0	1	0	0	1	17	8.89	0.0
FBU	0	8	FBU	3	9	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1
FBU	0	8	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FB2U	6	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FFL	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FFL	2	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FFL	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FFL	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FFL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	0	8	FFL	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	3	5	0	0	1	0	0	1	12	11.32	0.0	0	0	1	20	23.67	0.0
FBU	1	5	ALL	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	9	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	10	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	11	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	12	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	14	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	16	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	18	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	19	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	20	10	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	21	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	24	9	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	25	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	27	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	28	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	29	18	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	31	14	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	34	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	ALL	35	10	1	0	1	0	0	1	0	0	1	0	0	1	6	4.12	1.9129682380936153e-05
FBU	1	5	COR	0	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COR	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COR	4	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COR	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COR	6	5	0	0	1	0	0	1	12	11.12	0.0	0	0	1	20	22.57	0.0
FBU	1	5	COR	7	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COR	8	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COP	0	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COP	1	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COP	3	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COP	4	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	COP	7	5	0	0	1	0	0	1	12	12.11	0.0	0	0	1	20	22.14	0.0
FBU	1	5	CIR	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	CIR	1	14	1	0	1	0	0	1	0	0	1	0	0	1	6	2.99	0.0013811508432290953
FBU	1	5	CIR	2	6	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	CIR	3	7	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FBU	0	8	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FBU	1	5	0	0	1	0	0	1	12	11.31	0.0	0	0	1	20	21.59	0.0
FBU	1	5	FBU	2	12	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FBU	3	9	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FBU	5	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FB2U	1	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FB2U	3	7	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
FBU	1	5	FB2U	4	5	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1
