refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	channel_count	characteristics_ch1_cell line	characteristics_ch1_cell type	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_name	contact_zip/postal_code	data_processing	data_row_count	description	extract_protocol_ch1	geo_accession	growth_protocol_ch1	hyb_protocol	label_ch1	label_protocol_ch1	last_update_date	molecule_ch1	organism_ch1	platform_id	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	title	treatment_protocol_ch1	type	Meta
GSM1280329	GSE53012		atcc, crl-1435					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	pc-3 human prostate cancer cell line			PC_C1		1	ATCC, CRL-1435	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells  exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280329	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	PC-3 cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280329/suppl/GSM1280329_PC_C1.CEL.gz	9606	PC_C1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 cyclic
GSM1280330	GSE53012		atcc, crl-1436					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	pc-3 human prostate cancer cell line			PC_C2		1	ATCC, CRL-1436	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells  exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280330	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	PC-3 cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280330/suppl/GSM1280330_PC_C2.CEL.gz	9606	PC_C2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 cyclic
GSM1280331	GSE53012		atcc, crl-1437					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	pc-3 human prostate cancer cell line			PC_C3		1	ATCC, CRL-1437	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells  exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280331	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	PC-3 cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280331/suppl/GSM1280331_PC_C3.CEL.gz	9606	PC_C3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 cyclic
GSM1280332	GSE53012		atcc, crl-1438					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	pc-3 human prostate cancer cell line			PC_H1		1	ATCC, CRL-1438	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells  exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280332	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	PC-3 cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280332/suppl/GSM1280332_PC_H1.CEL.gz	9606	PC_H1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 chronic
GSM1280333	GSE53012		atcc, crl-1439					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	pc-3 human prostate cancer cell line			PC_H2		1	ATCC, CRL-1439	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280333	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	PC-3 cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280333/suppl/GSM1280333_PC_H2.CEL.gz	9606	PC_H2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 chronic
GSM1280334	GSE53012		atcc, crl-1440					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	pc-3 human prostate cancer cell line			PC_H3		1	ATCC, CRL-1440	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells exposed to experimental chronic hypoxia (1% oxygen) for 72 h, biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280334	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	PC-3 cells exposed to chronic hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280334/suppl/GSM1280334_PC_H3.CEL.gz	9606	PC_H3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 chronic
GSM1280335	GSE53012		atcc, crl-1441					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	pc-3 human prostate cancer cell line			PC_K1		1	ATCC, CRL-1441	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells cultured in control conditions (21% oxygen), biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280335	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	control PC-3 cells	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280335/suppl/GSM1280335_PC_K1.CEL.gz	9606	PC_K1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 control 
GSM1280336	GSE53012		atcc, crl-1442					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	89	Affymetrix SCAN	v1.4.4				GEO	pc-3 human prostate cancer cell line			PC_K2		1	ATCC, CRL-1442	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells cultured in control conditions (21% oxygen), biological replica 2	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280336	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	control PC-3 cells	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280336/suppl/GSM1280336_PC_K2.CEL.gz	9606	PC_K2	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 control 
GSM1280337	GSE53012		atcc, crl-1443					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	pc-3 human prostate cancer cell line			PC_K3		1	ATCC, CRL-1443	PC-3 human prostate cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	PC-3 prostate cancer cells cultured in control conditions (21% oxygen), biological replica 3	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280337	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	control PC-3 cells	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280337/suppl/GSM1280337_PC_K3.CEL.gz	9606	PC_K3	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	PC-3 control 
GSM1280338	GSE53012		atcc, htb-77					HOMO_SAPIENS	Affymetrix Human Genome U133 Plus 2.0 Array (hgu133plus2)	True	47	Affymetrix SCAN	v1.3.0				GEO	sk-ov-3 human ovarian cancer cell line			SK_C1		1	ATCC, HTB-77	SK-OV-3 human ovarian cancer cell line	Wybrzerze AK 15	Gliwice	Poland	Center for Translational Research and Molecular Biology of Cancer	molbryt@io.gliwice.pl	Cancer Center and Institute of Oncology	Magdalena,,Olbryt	44-100	The CEL files were pre-processed using the GC-RMA algorithm available in R environment as the Bioconductor gcrma package.	54675	SK-OV-3 ovarian cancer cells   exposed to experimental cycling hypoxia (interchanging 1% and 21% oxygen) for 72 h, biological replica 1	Total RNA was isolated using Rneasy Mini Kit (Qiagen) according to the manufacturer's instructions.	GSM1280338	The human cancer cells were grown in CO2 incubator at 37C in the following culture media: PC-3 - RPMI (Sigma-Aldrich) supplemented with 10% fetal bovine serum (FBS; Gibco BRL), SK-OV-3 - McCoys medium (Sigma-Aldrich) supplemented with 10% FBS (Gibco BRL), WM793B - 2% Tu medium (Sigma-Aldrich) supplemented with 2% FBS (Gibco BRL), bovine insulin (0.005 mg/ml) and 1.68 mmol/l CaCl2 (Sigma-Aldrich).	Following fragmentation, 16 g of cRNA were hybridized for 16 hr at 45C on GeneChip Human Genome U133 Plus 2.0 Array (Affymetrix). GeneChips were washed and stained in the Affymetrix Fluidics Station 400.	biotin	Total RNA (5 g) was used for synthesis of double stranded cDNA according to manufacturer's instructions. Half of the cDNA volume was used for synthesis of biotynylated cRNA with reagents recommended by Affymetrix.	Dec 06 2013	total RNA	Homo sapiens	GPL570	Arrays were scanned by GeneChip Scanner 3000 and the data was acquired using GCOS 1.2 software (Affymetrix).	GSE53012	SK-OV-3 cells exposed to cycling hypoxia	Public on Dec 06 2013	Dec 05 2013	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1280nnn/GSM1280338/suppl/GSM1280338_SK_C1.CEL.gz	9606	SK_C1	Hypoxic conditions were introduced by incubating the cells in 1% oxygen using oxygen flow-regulated incubator for 72 h (chronic hypoxia) or for 4/12 hour periods of 1% oxygen interchanged with periods of 21% oxygen (cycling hypoxia). Control cells were cultured in standard conditions (21% oxygen) for 72 h.	RNA	SK-OV-3  cyclic
