Column-Header	Experiment	Condition	Control
GSM1280329	1	PC-3_cyclic	0
GSM1280330	1	PC-3_cyclic	0
GSM1280331	1	PC-3_cyclic	0
GSM1280332	1	PC-3_chronic	0
GSM1280333	1	PC-3_chronic	0
GSM1280334	1	PC-3_chronic	0
GSM1280335	1	PC-3_control	1
GSM1280336	1	PC-3_control	1
GSM1280337	1	PC-3_control	1
GSM1280338	2	SK-OV-3_cyclic	0
GSM1280339	2	SK-OV-3_cyclic	0
GSM1280340	2	SK-OV-3_cyclic	0
GSM1280341	2	SK-OV-3_chronic	0
GSM1280342	2	SK-OV-3_chronic	0
GSM1280343	2	SK-OV-3_chronic	0
GSM1280344	2	SK-OV-3_control	1
GSM1280345	2	SK-OV-3_control	1
GSM1280346	2	SK-OV-3_control	1
GSM1280347	3	WM793B_cycling	0
GSM1280348	3	WM793B_cycling	0
GSM1280349	3	WM793B_cycling	0
GSM1280351	3	WM793B_chronic	0
GSM1280352	3	WM793B_chronic	0
GSM1280353	3	WM793B_control	1
GSM1280354	3	WM793B_control	1
GSM1280355	3	WM793B_control	1
