Gene	FDR
ENSG00000167772	0.000115180397587
ENSG00000162723	5.56E-05
ENSG00000163814	7.4E-05
ENSG00000167772	1.87E-05
ENSG00000166828	4.9E-05
ENSG00000166046	6.03E-05
ENSG00000138829	3.61E-05
ENSG00000146674	1.35E-05
ENSG00000162723	0.000120996294232
ENSG00000146674	2.27E-05
ENSG00000121966	6.9E-05
ENSG00000073756	1.51E-05
ENSG00000116014	9.9E-06
ENSG00000073756	0.000119021957826
ENSG00000148926	2.29E-05
ENSG00000166046	8.39E-05
ENSG00000105143	0.000371832052379
ENSG00000113578	5.64E-05
ENSG00000105143	6.04E-05
ENSG00000118263	3.78E-05
ENSG00000168209	8.16E-05
ENSG00000105141	0.000467394912723
ENSG00000113615	5.03E-05
ENSG00000168447	0.000131277984656
ENSG00000118263	9.25E-05
ENSG00000109046	7.67E-05
ENSG00000120129	3.5E-05
ENSG00000186832	0.000293428572701
ENSG00000112715	2.4E-05
ENSG00000081181	3.15E-05
ENSG00000087494	1.87E-05
ENSG00000115602	0.000160892201161
ENSG00000064393	2.84E-05
ENSG00000147689	0.000143441255777
ENSG00000112715	8.51E-05
ENSG00000184792	0.000942990046402
ENSG00000104549	0.000457565112385
ENSG00000186352	3.78E-05
ENSG00000151651	0.0001433078631
ENSG00000125775	1.35E-05
ENSG00000132470	0.000395842214214
ENSG00000161638	1.87E-05
ENSG00000087494	0.001627712240225
ENSG00000120129	1.86E-05
ENSG00000137193	1.33E-05
ENSG00000170017	9.75E-05
ENSG00000176454	0.000110357385057
ENSG00000113739	5.77E-05
ENSG00000164400	0.00034751254202
ENSG00000178607	9.52E-05
ENSG00000106070	0.000248562719155
ENSG00000059728	0.000472819223761
ENSG00000114423	1.99E-05
ENSG00000151651	0.000195606626346
ENSG00000166920	8.19E-05
ENSG00000117595	0.000610563199866
ENSG00000125730	0.001014563874253
ENSG00000169429	4.15E-05
ENSG00000059728	2.4E-05
ENSG00000150995	0.000177096018782
ENSG00000073737	4.26E-05
ENSG00000100505	0.00016109154605
ENSG00000187325	3.43E-05
ENSG00000159263	0.001350825225477
ENSG00000075426	6.18E-05
ENSG00000064393	0.000120361491841
ENSG00000162772	0.000338752921865
ENSG00000118503	0.000289777855719
ENSG00000132470	0.00016761657885
ENSG00000166147	1.51E-05
ENSG00000150667	6.5E-05
ENSG00000104419	2.55E-05
ENSG00000100290	0.00058245477947
ENSG00000074800	6.93E-05
ENSG00000109046	2.55E-05
ENSG00000147852	0.00060474971315
ENSG00000145623	5.57E-05
ENSG00000198363	0.003516394875619
ENSG00000150995	0.000104113631025
ENSG00000137872	0.000870679019313
ENSG00000263022	0.000557179878961
ENSG00000108417	0.000557179878961
ENSG00000196878	1.35E-05
ENSG00000285133	4.17E-05
ENSG00000175197	4.17E-05
ENSG00000073737	4.9E-05
ENSG00000162772	0.001985593100275
ENSG00000115602	5.9E-05
ENSG00000064393	0.000848609067654
ENSG00000113578	0.001131001260645
ENSG00000154734	6.85E-05
ENSG00000115602	0.001883881921858
ENSG00000113369	4.23E-05
ENSG00000111674	2.6E-05
ENSG00000205129	0.000246700717601
ENSG00000087494	7.35E-05
ENSG00000169583	9.86E-05
ENSG00000285069	5.96E-05
ENSG00000130766	5.96E-05
ENSG00000108433	6.85E-05
ENSG00000173715	0.000263022226902
ENSG00000132470	1.44E-05
ENSG00000124635	0.001319139082229
ENSG00000120686	0.0005317063547
ENSG00000166147	1.13E-05
ENSG00000105388	0.013259686579959
ENSG00000171388	6.9E-05
ENSG00000163993	1.85E-05
ENSG00000146648	0.000106325422345
ENSG00000182158	0.001140983548901
ENSG00000165030	2.67E-05
ENSG00000168505	6.27E-05
ENSG00000170525	0.000186942321228
ENSG00000112715	3.78E-05
ENSG00000117595	0.000580752110097
ENSG00000166123	1.99E-05
ENSG00000168646	0.001818456579485
ENSG00000159261	0.002575474749089
ENSG00000176454	4.9E-05
ENSG00000106366	6.42E-05
ENSG00000117595	8.97E-05
ENSG00000285069	0.000357667901323
ENSG00000130766	0.000357667901323
ENSG00000198959	8.77E-05
ENSG00000162772	0.007075415420401
ENSG00000136826	1.44E-05
ENSG00000172638	0.000186688448784
ENSG00000138668	8.89E-05
ENSG00000152409	0.000107790187223
ENSG00000134107	6.99E-05
ENSG00000176046	2.2E-05
ENSG00000127951	0.001044174177784
ENSG00000116761	3.3E-05
ENSG00000118503	5.81E-05
ENSG00000103089	8.05E-05
ENSG00000119139	8.21E-05
ENSG00000164266	0.000444804215458
ENSG00000169429	6.29E-05
ENSG00000150995	9.81E-05
ENSG00000163734	0.000193382996911
ENSG00000167244	0.000111280684888
ENSG00000184792	0.002163675252754
ENSG00000072682	1.14E-05
ENSG00000134013	0.000115917879626
ENSG00000106070	1.99E-05
ENSG00000118263	0.004448723199644
ENSG00000059728	0.003814262794002
