Gene	FDR
ENSG00000121966	2.87E-05
ENSG00000095303	6.87E-05
ENSG00000095303	5.74E-05
ENSG00000121966	2.92E-05
ENSG00000167772	0.000259971120694
ENSG00000121966	2.31E-05
ENSG00000095303	0.000169379433744
ENSG00000107159	2.31E-05
ENSG00000104055	0.0006232248951
ENSG00000159167	0.000188107872534
ENSG00000167772	0.000244228873797
ENSG00000159167	0.002503705963006
ENSG00000078401	5.08E-05
ENSG00000159167	5.74E-05
ENSG00000128242	0.000269468617988
ENSG00000153233	0.000585094970044
ENSG00000159167	0.000437905023742
ENSG00000153233	0.000122411756546
ENSG00000136155	7.98E-05
ENSG00000078401	5.86E-05
ENSG00000258818	8.37E-05
ENSG00000095303	8.37E-05
ENSG00000131016	0.000503074899426
ENSG00000214274	0.000102611483175
ENSG00000120708	0.000159367716036
ENSG00000150995	0.000557481743655
ENSG00000186352	4.87E-05
ENSG00000137501	0.000125752972467
ENSG00000128606	0.000464813789776
ENSG00000129521	0.000137740351677
ENSG00000111674	0.000334584322915
ENSG00000131016	5.74E-05
ENSG00000150995	0.000301550066231
ENSG00000014914	0.000684441897152
ENSG00000185112	0.000360166331966
ENSG00000165474	9.37E-05
ENSG00000132128	0.000242661648908
ENSG00000159399	0.00012013780698
ENSG00000137501	7.46E-05
ENSG00000117525	0.000102356239437
ENSG00000129521	0.000160029995738
ENSG00000281459	0.001967386296145
ENSG00000142623	0.001967386296145
ENSG00000114268	6.57E-05
ENSG00000184368	0.002101078651535
ENSG00000148926	7.10E-05
ENSG00000106366	0.000339554618372
ENSG00000089127	0.001884819670355
ENSG00000050767	0.000137740351677
ENSG00000177494	0.002680245597068
ENSG00000188910	0.000318511972069
ENSG00000134369	0.000750579766353
ENSG00000108821	0.000126523955578
ENSG00000076641	0.001476548353227
ENSG00000130635	6.87E-05
ENSG00000158125	0.000361179071781
ENSG00000115009	0.000179961485551
ENSG00000134013	0.000175837847348
ENSG00000013588	0.000168782277295
ENSG00000104419	6.37E-05
ENSG00000134198	0.002823629306855
ENSG00000113532	0.000219421015642
ENSG00000166670	0.000610329246638
ENSG00000134013	1.02E-05
ENSG00000136155	0.000259226262016
ENSG00000104332	0.003098105286903
ENSG00000110852	0.000325465849573
ENSG00000185585	0.000279056913758
ENSG00000134369	0.0001343146549
ENSG00000139329	0.001648772799594
ENSG00000132128	0.002930085836149
ENSG00000130635	6.59E-05
ENSG00000101955	0.000690188658039
ENSG00000101198	0.005394140736865
ENSG00000109107	0.0003484466157
