Gene	FDR
ENSG00000107159	0.000909359304848
ENSG00000111674	0.000749975532577
ENSG00000159167	0.004540984646216
ENSG00000109107	0.000930801735698
ENSG00000109654	0.011847735541085
ENSG00000186352	0.002326330749611
ENSG00000047457	0.028583447642561
ENSG00000164849	0.001735585845024
ENSG00000167772	0.002791908016899
ENSG00000173262	0.002326330749611
ENSG00000059804	0.00128987242142
ENSG00000059804	0.001339038207659
ENSG00000059804	0.003009345516978
ENSG00000047457	0.017172690169157
ENSG00000176171	0.000946039230647
ENSG00000173262	0.005593916387776
ENSG00000084112	0.003949237019954
ENSG00000113615	0.008808878771824
ENSG00000285133	0.015582676232352
ENSG00000175197	0.015582676232352
ENSG00000167772	0.001444887947465
ENSG00000047457	0.033456964808866
ENSG00000147852	0.001938797412791
ENSG00000152256	0.002887347881565
ENSG00000214274	0.001564791124325
ENSG00000205129	0.001232418617377
ENSG00000159167	0.007624070166244
ENSG00000114268	0.006114984670061
ENSG00000258818	0.002513166433391
ENSG00000133805	0.004423805344255
ENSG00000112715	0.003433542374624
ENSG00000143847	0.001594661875174
ENSG00000159167	0.003243739530033
ENSG00000112096	0.00870140894666
ENSG00000152256	0.002315490372099
ENSG00000197343	0.010339289543413
ENSG00000136068	0.000506265919384
ENSG00000171862	0.001112737207116
ENSG00000112715	0.00124449054483
ENSG00000159167	0.01093610587123
ENSG00000138336	0.004540984646216
ENSG00000133135	0.002376280022498
ENSG00000176171	0.000678066785271
ENSG00000091513	0.002197915220197
ENSG00000069667	0.009898728367929
ENSG00000131389	0.047606554852458
ENSG00000113083	0.001112737207116
ENSG00000091513	0.004851708123188
ENSG00000109255	0.005962019470136
ENSG00000108433	0.00541920864733
ENSG00000120937	0.009988770685873
ENSG00000196199	0.006140573071444
ENSG00000115414	0.023741996937293
ENSG00000196083	0.005213935969566
ENSG00000151640	0.000909359304848
ENSG00000187325	0.001594661875174
ENSG00000113739	0.009185543407778
ENSG00000162723	0.004755604414044
ENSG00000073756	0.000909359304848
ENSG00000113083	8.85E-05
ENSG00000145623	0.000997014084058
ENSG00000121774	0.004367661595647
ENSG00000136068	0.000506265919384
ENSG00000112715	0.00295302312046
ENSG00000181458	0.000508981574058
ENSG00000186918	0.004793235625338
ENSG00000214274	0.005710927435581
ENSG00000075151	0.019272728176869
ENSG00000092969	0.004995927526232
ENSG00000131018	0.001353833230065
ENSG00000143322	0.017872007447367
ENSG00000125629	0.007367943804031
ENSG00000186918	0.008035126875345
ENSG00000164916	0.011649631051852
ENSG00000138135	0.048805958256592
ENSG00000158373	0.022654844847114
ENSG00000070476	0.01025242725777
ENSG00000113369	0.011404022106803
ENSG00000061656	0.000217204941487
ENSG00000115414	0.019072627742182
ENSG00000049246	0.031796084731175
ENSG00000148926	0.007534571159444
ENSG00000117394	0.005004852311526
ENSG00000241852	0.000960856599468
ENSG00000114023	0.000508981574058
ENSG00000172638	0.002510581832257
ENSG00000114023	0.000304436752834
ENSG00000074800	0.039749370401312
ENSG00000159399	0.008889921194134
ENSG00000102144	0.000338353427573
ENSG00000113083	0.000445796353602
ENSG00000109046	0.009186268873867
ENSG00000178802	0.001866578588545
ENSG00000196968	0.003949237019954
ENSG00000104765	0.000506265919384
ENSG00000128563	0.007060584952349
ENSG00000104765	0.001178836658155
ENSG00000109046	0.004290294831093
ENSG00000180573	0.039821927003728
ENSG00000112715	0.007482310847346
ENSG00000068305	0.013678029540049
ENSG00000173890	0.003592239485425
ENSG00000065833	0.003343469846564
ENSG00000116679	0.008707934912726
ENSG00000114023	0.001154349703948
ENSG00000165617	0.006240258450442
ENSG00000122643	0.002257702364404
ENSG00000081181	0.002282417949015
ENSG00000186918	0.01248109461611
ENSG00000112531	0.025008186557911
ENSG00000124785	0.001564791124325
ENSG00000073756	0.000547101078163
ENSG00000180914	0.017156731344236
ENSG00000080031	0.042133702204468
ENSG00000118495	0.033607093850415
ENSG00000186918	0.006046143552447
ENSG00000135914	0.027999653133008
ENSG00000139832	0.006760646479197
ENSG00000013441	0.004902758456548
ENSG00000064393	0.028310930609688
ENSG00000112137	0.010391712670521
ENSG00000006652	0.002610141892621
ENSG00000288640	0.002610141892621
ENSG00000083444	0.004962194556613
ENSG00000171951	0.012687275993276
ENSG00000122884	0.002672167583602
ENSG00000138668	0.003626869192712
ENSG00000188994	0.001853970885155
ENSG00000166793	0.001112737207116
ENSG00000196981	0.002266984765174
ENSG00000113615	0.000505924696297
ENSG00000151882	0.009383042733625
ENSG00000065833	0.002073314259185
ENSG00000285343	0.012931952650932
ENSG00000173281	0.012931952650932
ENSG00000169499	0.002608275181828
ENSG00000118263	0.001048367445646
ENSG00000141526	0.008079902406331
ENSG00000109046	0.002326330749611
ENSG00000178665	0.02248342510307
ENSG00000169499	0.045133854062093
ENSG00000120948	0.015152628588851
ENSG00000118804	0.000945635631968
ENSG00000136235	0.018963400842179
ENSG00000011405	0.001627657516326
ENSG00000092969	0.00188690377341
ENSG00000092969	0.001645654943609
ENSG00000171862	0.001112737207116
ENSG00000006652	0.00538511676648
ENSG00000288640	0.00538511676648
ENSG00000115414	0.018976620493189
ENSG00000147454	0.009383042733625
ENSG00000152049	0.008698581023242
ENSG00000187017	0.047486487983365
ENSG00000182158	0.022285868127902
ENSG00000076554	0.018319077617697
ENSG00000078699	0.00659577379241
ENSG00000095303	0.027586937218113
ENSG00000285098	0.005851347303074
ENSG00000253958	0.005851347303074
ENSG00000122335	0.00328912502821
ENSG00000118985	0.016565781019843
ENSG00000172638	0.001594661875174
ENSG00000167191	0.007122890433062
ENSG00000075426	0.008066022725414
ENSG00000163017	0.009875728665301
ENSG00000157764	0.04275004263614
ENSG00000102225	0.047736220516153
ENSG00000150457	0.034034354347302
ENSG00000128683	0.008438560009172
ENSG00000110841	0.004167917558481
ENSG00000118985	0.006933693500312
ENSG00000088726	0.015167330232449
ENSG00000164096	0.004576356385098
ENSG00000139436	0.025916612404123
ENSG00000102225	0.047383079816941
ENSG00000044090	0.004152008999166
ENSG00000149925	0.00345826818658
ENSG00000198373	0.022366907701509
ENSG00000164096	0.000217204941487
ENSG00000092969	0.004775402122807
ENSG00000117000	0.002359610269763
ENSG00000142871	0.003970296646289
ENSG00000115902	0.017110917571139
ENSG00000159884	0.002326330749611
ENSG00000067057	0.0034956748506
ENSG00000141526	0.006650624093645
ENSG00000273859	0.035493786213628
ENSG00000099849	0.035493786213628
ENSG00000105778	0.013072432174872
ENSG00000178177	0.003985546140277
ENSG00000146587	0.009335356180559
ENSG00000147454	0.002326330749611
ENSG00000163516	0.030339825011698
ENSG00000129292	0.009383042733625
ENSG00000142867	0.004692490835387
ENSG00000116741	0.049373095649414
ENSG00000089775	0.017110917571139
ENSG00000163393	0.005628917638011
ENSG00000176222	0.009395810723362
ENSG00000070476	0.014264068578572
ENSG00000072682	0.002538061952884
ENSG00000117475	0.003389729940504
ENSG00000070476	0.01137947950338
ENSG00000163235	0.027345864649024
ENSG00000156273	0.004518569823288
ENSG00000111530	0.010274254229067
ENSG00000188994	0.00174291847517
ENSG00000138061	0.022683671358892
ENSG00000071282	0.002129303989523
ENSG00000283649	0.010391712670521
ENSG00000204186	0.010391712670521
ENSG00000137501	0.01511781551032
