ensembl_gene_id	external_gene_name	external_gene_name.1	description	biotype
ENSG00000001084	GCLC	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	Gene
ENSG00000001167	NFYA	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	TF
ENSG00000001497	LAS1L	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	Gene
ENSG00000001631	KRIT1	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	Gene
ENSG00000002330	BAD	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	Gene
ENSG00000002726	AOC1	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	Gene
ENSG00000002822	MAD1L1	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	Gene
ENSG00000003436	TFPI	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	Gene
ENSG00000003987	MTMR7	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	Gene
ENSG00000004142	POLDIP2	POLDIP2	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	Gene
ENSG00000004399	PLXND1	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	Gene
ENSG00000004487	KDM1A	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	Gene
ENSG00000004766	VPS50	VPS50	VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]	Gene
ENSG00000004897	CDC27	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	Gene
ENSG00000004961	HCCS	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	Gene
ENSG00000005075	POLR2J	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	Gene
ENSG00000005156	LIG3	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	Gene
ENSG00000005175	RPAP3	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	Gene
ENSG00000005238	FAM214B	FAM214B	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]	Gene
ENSG00000005249	PRKAR2B	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	Gene
ENSG00000005302	MSL3	MSL3	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]	Gene
ENSG00000005700	IBTK	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	Gene
ENSG00000005812	FBXL3	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	Gene
ENSG00000005882	PDK2	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	Gene
ENSG00000005961	ITGA2B	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	Gene
ENSG00000005981	ASB4	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	Gene
ENSG00000006016	CRLF1	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	Gene
ENSG00000006071	ABCC8	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	Gene
ENSG00000006125	AP2B1	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	Gene
ENSG00000006128	TAC1	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	Gene
ENSG00000006210	CX3CL1	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	Gene
ENSG00000006611	USH1C	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	Gene
ENSG00000006634	DBF4	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	Gene
ENSG00000006712	PAF1	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	Gene
ENSG00000006715	VPS41	VPS41	VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]	Gene
ENSG00000006740	ARHGAP44	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	Gene
ENSG00000007062	PROM1	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	Gene
